appetency,a longing or desire
shrift,forgiveness
plight,solemnly pledge or promise (faith or loyalty)
uncommon,remarkably
sea coal,mineral coal
virtue,virginity
repulsive,lacking friendliness or sympathy
egad,"exclamation of surprise, anger, or affirmation"
bethink oneself of,remember; recollect
cordwainer,a shoemaker
animalcule,a microscopic animal
mooncalf,a foolish person
God's acre,a churchyard
'tis,it is
meet,suitable or proper
intelligence,news
saddle-bow,the pommel of a saddle
cicisbeo,a married woman's male companion or lover
fain,pleased or willing under the circumstances
damsel,a young unmarried woman
fandangle,a useless or purely ornamental thing
carl,a man of low birth
sacring,"the consecration of a bishop, a sovereign, or the Eucharistic elements"
pestilence,"a fatal epidemic disease, especially bubonic plague"
commend,entrust someone or something to
"quick, the",the living
gyve,a fetter or shackle
popinjay,a parrot
gudgeon,a credulous person
audition,the power of hearing
bedlam,an asylum
wright,a maker or builder
mummer,an actor in the theatre
ambuscade,an ambush
dispraise,censure or criticize
relieve,make (something) stand out
recreant,cowardly
uncle,a pawnbroker
jade,a bad-tempered or disreputable woman
trig,neat and smart
bootless,(of a task) ineffectual; useless
sooth,truth
stripe,a blow with a lash
weasand,the oesophagus or gullet
overset,capsize; flip over
peradventure,perhaps
sippet,a small piece of bread or toast for dipping into soup or sauce
filibeg,a kilt
ceil,line or plaster the roof of (a building)
laver,a basin or similar container used for washing oneself
chicane,deceive; hoodwink
pest,bubonic plague
buck,a fashionable and daring young man
laud,praise
feminal,feminine; womanly
brimstone,sulphur
maid,a girl or young woman
sciolist,a person who pretends to be knowledgeable
froward,(of a person) difficult to deal with; contrary
clerk,a literate or scholarly person
gammer,an old woman
Levant,the eastern part of the Mediterranean
swain,a country youth
recipe,a medical prescription
larcener,thief
portion,a person's destiny or lot
perchance,by some chance
pale,an area within determined bounds or subject to a particular jurisdiction
pelf,"money, especially when gained dishonestly"
loathly,repulsive
recompense,punish or reward appropriately
bibliopole,a dealer in books
horse-coper,a person who deals in horses
quean,an impudent girl or woman
fell,an animal skin; a pelt
fruit,offspring
without,outside
fishwife,a woman who sells fish
moil,drudgery
ware of,aware of
halt,lame
intelligencer,a person who gathers intelligence
glaciate,freeze over
sweeting,darling
salamander,a red-hot iron or poker
portion,a dowry
glabriety,baldness
bijoux,jewellery; trinkets
quiz,look intently at (someone)
aught,anything at all
otiose,lazy; slothful
esurient,hungry
mage,a magician or learned person
pistoleer,a soldier armed with a pistol
otherwhere,elsewhere
"morrow, the",the following day
lordling,a minor lord
cruse,an earthenware pot or jar
sennight,a week
watchful,wakeful
scrag,a neck
affright,frighten (someone)
burgess,a full citizen of a town or borough
wherewith,with or by which
mechanical,a manual worker
malapert,presumptuous and impudent
lief,as happily; as gladly
seizing,a length of cord or rope on board a ship
malison,a curse
reave,carry out a plundering raid
garland,a literary anthology
natheless,nevertheless
lurdan,an idle or incompetent person
hight,named
hie,go quickly
smite,defeat or conquer
fervent,hot or glowing
therewith,with or in the thing mentioned
wont,accustomed
drab,a slovenly woman
wast,second person singular past of be
receipt,a recipe
peterman,a thief or safecracker
in sooth,actually
hither,to or toward this place
sanguinary,involving or causing much bloodshed
sweetmeat,an item of confectionery or sweet food
divers,of varying types; several
soft tack,"bread, especially as rations for sailors or soldiers"
venery,hunting
flux,diarrhoea or dysentery
bumper,a generous glass of an alcoholic drink
invest,surround (a place) in order to besiege or blockade it
equipage,gear; equipment
nice,fastidious
hereunto,to this document
wondrous,wonderfully
orison,a prayer
afeard/afeared,frightened
slipshod,(of shoes) worn down at the heel
leman,a lover or sweetheart
wassail,revelry
love apple,a tomato
assay,attempt
compeer,a companion or close associate
blackguard,a scoundrel
horseless carriage,a car
orts,scraps; remains
delate,report (an offence)
tenter,"a person in charge of something, especially factory machinery"
watch,remain awake as religious observance
sap,"make (a building, etc.) insecure by removing its foundations"
rathe-ripe,(of fruit) ripening early in the year; (of a person) precocious
thenceforth,"from that time, place, or point onward"
blow,produce flowers or be in flower
coxcomb,a vain and conceited man; a dandy
gallant,a dashing gentleman
imminent,overhanging
billow,a large sea wave
schoolman,a teacher
betimes,in good time; early
verily,truly; certainly
rover,a pirate
pouncet-box,a small box with a perforated lid used for holding a substance impregnated with perfume
truck,an exchange or transaction
trespass,a sin or offence
gaud,a trinket
thrice,three times
ere,before (in time)
bane,poison
aliment,food; nourishment
sables,black mourning clothes
twelvemonth,a year
wool-stapler,a dealer in wool
hearken,listen
cleanse,restore to health
palfrey,a docile riding horse
scapegrace,a mischievous person; a rascal
buss,a kiss
crumpet,a person's head
vale,a farewell; a send-off
behold,see or observe
